from_address,nonce,life_avg,max_rev
0xd0db3c9cf4029bac5a9ed216cd174cba5dbf047c,2392,8193.243,2392
0xa3c084ae80a3f03963017669bc696e961d3ae5d5,10673,3336.221988,10673
0xda466bf1ce3c69dbef918817305cf989a6353423,30745,70.56887075,30745
0x09ab1303d3ccaf5f018cd511146b07a240c70294,23844,1284.83399,23844
0x249bdb4499bd7c683664c149276c1d86108e2137,23059,1082.9433,23059
0xa42af2c70d316684e57aefcc6e393fecb1c7e84e,334606,77.22065886,334606
0xd1e56c2e765180aa0371928fd4d1e41fbcda34d4,14296,1936.655242,14296
0x52e44f279f4203dcf680395379e5f9990a69f13c,46,667384.2234,46
0x99c85bb64564d9ef9a99621301f22c9993cb89e3,143784,227.5931043,143784
0x9d551f41fed6fc27b719777c224dfecce170004d,15428,1928.161676,15428
0xcf6ce585cb4a78a6f96e6c8722927161a696f337,465,16879.59549,465
0xe4bdced60430a90f31dba03524dd5d15a2670649,96714,309.8100863,96714
0x433022c4066558e7a32d850f02d2da5ca782174d,3328,8096.732202,3328
0x44fd3ab8381cc3d14afa7c4af7fd13cdc65026e1,177013,108.5948908,177013
0x6537b65a50a862391515455272f9b6c7168afe94,679,10001.59338,679
0x68795c4aa09d6f4ed3e5deddf8c2ad3049a601da,62132,245.121594,62132
0x7f3b29ae0d5edae9bb148537d4ed2b12beddf8b3,1908,3664.675485,1908
0xf3b9d2c81f2b24b0fa0acaaa865b7d9ced5fc2fb,43,774285.3977,43
0xf64f9720cfcb59ca4f5f45e6fdb3f68b875b7295,1714,6857.750146,1714
0xa027231f42c80ca4125b5cb962a21cd4f812e88f,151056,358.2772761,151056
0xeea5b82b61424df8020f5fedd81767f2d0d25bfb,88208,306.7531204,88208
0xea674fdde714fd979de3edf0f56aa9716b898ec8,25818828,6.233536,25818828
0x52bc44d5378309ee2abf1539bf71de1b7d7be3b5,14991433,14.295584,14991433
0x2a98776c7e13ed1c240858bd241dcf95fc1928b4,293,88010.71939,293
0x4c549990a7ef3fea8784406c1eecc98bf4211fa5,397928,68.07524332,397928
0x6a7a43be33ba930fe58f34e07d0ad6ba7adb9b1f,226693,193.827426,226693
0x9d6d492bd500da5b33cf95a5d610a73360fcaaa0,16522,1138.370181,16522
0x1dcb8d1f0fcc8cbc8c2d76528e877f915e299fbe,67985,76.39397082,67985
0x35f61dfb08ada13eba64bf156b80df3d5b3a738d,89498,326.3335009,89498
0x4bb96091ee9d802ed039c4d1a5f6216f90f81b01,300592,240.9716843,300592
0x4e4e23ac3c11789e23169025503ea4373b01417b,19,1130515.5,19
0x6c3183792fbb4a4dd276451af6baf5c66d5f5e48,55619,648.3647878,55619
0x8fce1ef27f3add1411c7a99be402de598ad38389,1730,7204.277008,1730
0xa855c20a1351acd2690c716e2709c7dff3978d12,87,229343.2955,87
0xc839ee5542b4e8413246b3634c5c739fea949562,2166,395.3901707,2166
0xf8b483dba2c3b7176a3da549ad41a48bb3121069,275305,55.55656615,275305
0x06b8c5883ec71bc3f4b332081519f23834c8706e,16308,1422.794132,16308
0x151255dd9e38e44db38ea06ec66d0d113d6cbe37,67379,559.2613609,67379
0x52f13e25754d822a3550d0b68fdefe9304d27ae8,2975,2657.856183,2975
0x829bd824b016326a401d083b33d092293333a830,8705376,27.650737,8705376
0x8595dd9e0438640b5e1254f9df579ac12a86865f,40114,231.5872616,40114
0x8d35067233605bef6069191ae0922d134ff80d48,142,150156.8007,142
0x9435d50503aee35c8757ae4933f7a0ab56597805,166977,298.2300842,166977
0xa7b0536fb02c593b0dfd82bd65aacbdd19ae4777,41,118940.1905,41
0xe16263ee79b0ee32c242c99f02559e92abaea9eb,739,18208.28919,739
0xff1b891969773159366ab6310ff63a69ac4acffd,2932,7837.331401,2932
0x002e08000acbbae2155fab7ac01929564949070d,25236,1420.244205,25236
0x04668ec2f57cc15c381b461b9fedab5d451c8f7f,119284,215.4040533,119284
0x14b30f257c2737370203a15aa343c2b600dfb675,242,11041.20165,242
0x464b0b37db1ee1b5fbe27300acfbf172fd5e4f53,132498,342.1929449,132498
0x6b7d50bb8fab584e54251a10e1c6cfa51dd7b618,33624,265.6133532,33624
0x7c6694032b4db11ac485e1cff0f7509d58b41569,68513,229.591266,68513
0xd224ca0c819e8e97ba0136b3b95ceff503b79f53,469,43842.75638,469
0xd34da389374caad1a048fbdc4569aae33fd5a375,1150416,34.175183,1150416
0xd5bbb4264b70ca4f58c45d27b9d7e11190754a54,9798,2947.379631,9798
0xe6a7a1d47ff21b6321162aea7c6cb457d5476bca,18496,76.87679083,18496
0x2a65aca4d5fc5b5c859090a6c34d164135398226,4658364,53.906542,4658364
0x47c439c8784b44366735fc2cfe08228cb91d5b8e,501,34562.66833,501
0x5a0b54d5dc17e0aadc383d2db43b0a0d3e029c4c,6038365,40.290307,6038365
0x63a9975ba31b0b9626b34300f7f627147df1f526,273342,46.21809046,273342
0xf35074bbd0a9aee46f4ea137971feec024ab704e,5124,6344.31639,5124
